"","UniqueID","WeedControl","MapUnit","HeightVeg","HeightVegRepro","DiameterLargestStem","StemNum","LengthLargestLiveBranchlet","TotalNumLiveBranchlets","TotalInflorescenceNum","TotalReproOutput"
"1","KalawamounaE_1","W","1",15.4,15.4,0.19,6,4.5,63,0,0
"2","KalawamounaE_2","W","1",44.9,53.2,0.31,8,20.2,56,4,50
"3","KalawamounaE_3","W","1",22.5,29.8,0.17,13,8.1,56,5,31
"4","KalawamounaE_4","W","1",44.1,55.4,0.25,5,5.2,36,5,38
"5","KalawamounaE_5","W","1",25.2,34.1,0.15,7,2.1,13,4,26
"6","KalawamounaE_6","W","1",33.7,40.5,0.18,4,11,30,3,29
"7","KalawamounaE_7","W","1",23.5,31.3,0.19,9,7.6,115,3,20
"8","KalawamounaE_8","W","1",27.5,39.8,0.17,4,14.5,31,5,50
"9","KalawamounaE_9","W","1",22,31,0.26,3,5,35,3,26
"10","KalawamounaE_10","W","1",30,33.2,0.34,5,6.9,93,15,42
"11","KalawamounaE_11","W","1",23.5,28.5,0.22,11,6.8,55,1,1
"12","KalawamounaE_12","W","1",17.1,23.2,0.12,3,0,0,1,4
"13","KalawamounaE_13","W","1",38.3,45.5,0.26,9,12.4,97,4,47
"14","KalawamounaE_14","W","1",17.7,35.6,0.31,8,7.5,72,11,32
"15","KalawamounaE_15","W","1",44.9,49,0.68,2,9.5,66,7,51
"16","KalawamounaE_16","W","1",23.5,51,0.26,18,7.2,112,6,54
"17","KalawamounaE_17","W","1",27.3,37.1,0.25,9,16.2,72,10,61
"18","KalawamounaE_18","W","1",24.9,34.5,0.24,4,20.9,2,3,36
"19","KalawamounaE_19","W","1",42.2,53.2,0.26,2,5,35,3,39
"20","KalawamounaE_20","W","1",21.7,30.2,0.27,9,11.3,88,18,43
"21","KalawamounaE_21","W","1",26.1,32,0.2,10,8.1,66,5,33
"22","KalawamounaE_22","W","1",15.2,15.2,0.13,4,4.3,32,0,0
"23","KalawamounaE_23","W","1",20,23,0.11,8,8.7,66,4,22
"24","KalawamounaE_24","W","1",28,37,2.3,5,12.5,46,8,39
"25","KalawamounaE_25","W","1",28.6,34.8,0.26,11,6.9,155,21,35
"26","KalawamounaE_26","W","1",16.4,37.1,0.19,2,2.5,26,9,22
"27","KalawamounaE_27","W","1",20.8,24.7,0.19,5,9.8,57,4,17
"28","KalawamounaE_28","W","1",21.4,27.7,0.34,10,14.8,78,10,53
"29","Redleg_29","Tr","n/a",32.5,41.3,0.32,7,2.3,20,7,14
"30","Redleg_30","Tr","n/a",25.1,27.5,0.34,4,3.2,26,1,3
"31","Redleg_31","Tr","n/a",16,16,0.06,1,4.5,3,0,NA
"32","Redleg_32","Tr","n/a",26.7,30,0.32,2,5.6,18,2,6
"33","Redleg_33","Tr","n/a",20.5,22.9,0.37,3,2,33,4,2
"34","Redleg_34","Tr","n/a",7.7,7.7,0.18,2,1.3,17,0,NA
"35","Redleg_35","Tr","n/a",7,7,0.1,1,2,3,0,NA
"36","Redleg_36","Tr","n/a",33.4,34.8,0.02,7,6,49,4,22
"37","Redleg_37","Tr","n/a",41.3,45.2,0.53,5,4.5,49,10,16
"38","Redleg_38","Tr","n/a",28.9,32.3,0.36,3,4,8,1,3
"39","Redleg_39","Tr","n/a",60.5,69.9,0.44,7,6.6,30,15,18
"40","Redleg_40","Tr","n/a",55,61.5,0.23,8,7,75,6,0
"41","Redleg_41","Tr","n/a",11,12.6,0.16,1,2.1,6,0,NA
"42","Redleg_42","Tr","n/a",33.2,37.6,0.39,7,5.6,31,7,8
"43","Redleg_43","Tr","n/a",28,29.9,0.24,3,2.4,28,0,NA
"44","Redleg_44","Tr","n/a",21,21,0.18,8,2.8,18,1,2
"45","Redleg_45","Tr","n/a",51.4,59,0.31,4,2.6,75,6,21
"46","Redleg_46","Tr","n/a",84.7,94,0.3,2,6.2,79,4,14
"47","Redleg_47","Tr","n/a",23.1,27.5,0.25,3,7.5,5,3,8
"48","Redleg_48","Tr","n/a",14,14,0.2,1,2.3,8,0,NA
"49","Redleg_49","Tr","n/a",23.2,23.2,0.25,2,3.9,34,0,NA
"50","Redleg_50","Tr","n/a",20.1,20.1,0.35,2,1.5,31,0,NA
