"iteration","lambda","R0","gen_time","mean_size_rep","var_size_rep","prob_rep"
1,0.930998350403047,0.196569238916729,22.7523245522713,116.565156895339,621.200061450271,0.82
2,0.804541038170551,0.276273025996964,5.91477901715494,125.53789291926,395.07674399185,0.82
3,0.85842346326851,0.590047741841195,3.45578139379149,131.175275091261,323.532231231299,0.82
4,0.907475795436489,0.688907036693595,3.83824432192314,130.522158631104,301.892859740146,0.82
5,0.865708478072338,0.846180621809602,1.15821267079178,127.343717962108,529.811703707476,0.82
6,0.860616940655078,0.456574060744978,5.22301264522174,125.543150949191,390.950312976855,0.82
7,0.939288245321445,0.148073162335723,30.4959455540803,120.774196736171,539.351437369919,0.82
8,0.836551422923147,0.0693759600912924,14.9507224523909,129.499725379867,572.893588979546,0.82
9,0.833513326001416,0.111742081416543,12.0345669831656,104.706661021919,618.670122063858,0.82
10,0.792983836736612,0.0837595698198328,10.6910056583505,120.093292104763,449.84997160312,0.82
11,0.829770667012114,0.273738772110886,6.9428719391759,114.995938616242,389.35158168129,0.82
12,0.848849452064039,0.246824636410998,8.53754723700199,127.516541620627,539.170486330735,0.82
13,0.818770550680607,0.699274013120466,1.7889978267179,117.243229689087,489.705868292149,0.82
14,0.838433965092281,0.701111340141157,2.01503616754732,129.81863038337,412.461520506466,0.82
15,0.90743108377311,0.907416112865558,1.0001698440893,128.154836723262,220.954429536704,0.82
16,0.776648703846985,0.514175305021402,2.63163553002883,129.344607309001,256.798273823324,0.82
17,0.854385662128097,0.820843487168468,1.25449305910759,129.758256689617,215.008045154619,0.82
18,0.870174747970672,0.103450423685782,16.314128788247,118.336732605878,814.381968551364,0.82
19,0.857308110437513,0.055568022679424,18.7723223063713,128.439520833199,766.096344262716,0.82
20,0.759264080579442,0.473843117319519,2.71192345850484,121.115144925966,387.990244303629,0.82
21,0.844519985024875,0.656899302007017,2.4867288299481,127.726879997082,246.857866267362,0.82
22,0.87496749992937,0.13756674776828,14.8511475606974,127.675278770638,614.379497897203,0.82
23,0.879193315285946,0.104465394701167,17.5447845274255,116.114319766921,665.040541337544,0.82
24,0.884767110326761,0.0508314631350012,24.3340667336487,123.2796550473,483.553985606093,0.82
25,0.898398743343497,0.898178344827402,1.00229000272781,116.40828121758,727.419985239745,0.82
26,0.781589572231066,0.513449520320768,2.70509141995548,127.054723402853,321.589287025317,0.82
27,0.830569874299401,0.0881951203822523,13.0799480038539,119.921648890999,639.380319781518,0.82
28,0.895918507982441,0.185635523620869,15.3219371089354,115.116437443369,600.791935391564,0.82
29,0.86204496010116,0.1023669633096,15.3534808008255,108.561411760655,550.93176111876,0.82
30,0.840079047464774,0.281141959745943,7.2816523066109,125.878854631471,269.981644683768,0.82
31,0.850863201981766,0.151407094925276,11.6887760872787,124.490195399958,461.060924356061,0.82
32,0.904606418419782,0.0781586604042424,25.4252267255207,123.370775906211,656.417294226502,0.82
33,0.85564347450999,0.0610019408409661,17.9398514675815,125.413848458104,498.26189608753,0.82
34,0.792411504745945,0.22502312967222,6.41046798647775,123.02887398695,397.224401029996,0.82
35,0.809706201102247,0.387695951405384,4.48889883535412,131.556169954173,476.001991213379,0.82
36,0.912079492379902,0.841803608707966,1.87125975224445,130.86017215305,310.339091564393,0.82
37,0.796059098607828,0.102585189078979,9.98352871361303,111.02815718774,531.822286670515,0.82
38,0.842482495413037,0.113923258106206,12.6732782546463,137.22968594822,497.735136551239,0.82
39,0.803390816301581,0.097875197639938,10.6163252739651,111.969652566241,566.230279668627,0.82
40,0.873013855900705,0.182000091325508,12.5456536695911,123.774975017049,354.189512766661,0.82
41,0.885538912409536,0.0998727504218818,18.9526131139239,121.983476009767,525.883234174428,0.82
42,0.817865152354406,0.0283437464069716,17.7230067431436,115.137700624662,667.369311881002,0.82
43,0.828903091105076,0.305874028982726,6.31265186240683,129.85766767274,407.415902264463,0.82
44,0.839119248327631,0.359670917017172,5.82982608558983,117.43082055505,403.876131354487,0.82
45,0.829696573363401,0.822571215382997,1.04619827320836,118.823319310117,436.297885411705,0.82
46,0.873754190294822,0.0427449845462856,23.3594577497166,127.488250004277,372.899083853225,0.82
47,0.874990211270329,0.459161377810151,5.82850463273083,125.284441830858,283.496670610024,0.82
48,0.819906352940851,0.203543768556591,8.01688627904117,125.218534641634,316.743651034469,0.82
49,0.714982167743982,0.0374103466546791,9.79383224191393,119.290122831616,676.859377784801,0.82
50,0.87672899594463,0.284959474037839,9.54266967293207,123.108252852286,372.822705953167,0.82
